ean,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5
7350056808765,https://images.footway.com/02/61252-69_001.png,https://images.footway.com/02/61252-69_002.png,,,
7350056806419,https://images.footway.com/02/61252-98_001.png,https://images.footway.com/02/61252-98_002.png,https://images.footway.com/02/61252-98_003.png,https://images.footway.com/02/61252-98_004.png,https://images.footway.com/02/61252-98_005.png
7350056808741,https://images.footway.com/02/61252-66_001.png,https://images.footway.com/02/61252-66_002.png,,,
7350006921674,https://images.footway.com/02/61252-94_001.png,,,,
7350056802664,https://images.footway.com/02/61250-66_001.png,https://images.footway.com/02/61250-66_002.png,,,
7350056808758,https://images.footway.com/02/61251-44_001.png,https://images.footway.com/02/61251-44_002.png,,,
7350006920417,https://images.footway.com/02/61249-51_001.png,https://images.footway.com/02/61249-51_002.png,,,
7350006927027,https://images.footway.com/02/61252-65_001.png,,,,
7350056808444,https://images.footway.com/02/61249-12_001.png,,,,
7350056801964,https://images.footway.com/02/61252-62_001.png,,,,
7350056802657,https://images.footway.com/02/61250-65_001.png,,,,
7350006927577,https://images.footway.com/02/61250-77_001.png,https://images.footway.com/02/61250-77_002.png,,,
7350006925948,https://images.footway.com/02/61249-69_001.png,,,,
7350146020053,https://images.footway.com/02/61249-03_001.png,,,,
7350056807188,https://images.footway.com/02/61248-87_001.png,,,,
7350056804040,https://images.footway.com/02/61251-02_001.png,,,,
7350056801292,https://images.footway.com/02/61250-67_001.png,https://images.footway.com/02/61250-67_002.png,,,
7350056803784,https://images.footway.com/02/61250-72_001.png,https://images.footway.com/02/61250-72_002.png,,,
7350146020343,https://images.footway.com/02/61253-01_001.png,,,,
7350056802817,https://images.footway.com/02/60388-27_001.png,https://images.footway.com/02/60388-27_002.png,https://images.footway.com/02/60388-27_003.png,,
7350056802602,https://images.footway.com/02/61250-63_001.png,https://images.footway.com/02/61250-63_002.png,,,
7350056804033,https://images.footway.com/02/61251-01_001.png,,,,
7350056808697,https://images.footway.com/02/61251-34_001.png,,,,
7350006922169,https://images.footway.com/02/61250-74_001.png,https://images.footway.com/02/61250-74_002.png,,,
